word,count
pop,2285
wan,2285
plate,2284
mine,2281
pink,2276
poor,2267
bite,2249
ask,2246
wrong,2245
pig,2244
lady,2240
om,2236
clothes,2234
sheep,2233
muss,2231
place,2215
always,2215
mite,2201
dos,2187
hoe,2179
window,2168
break,2162
main,2161
tape,2157
bunny,2155
listen,2142
fix,2142
broken,2136
toko,2134
leg,2132
tractor,2124
ton,2122
end,2118
dinner,2113
plus,2107
monkey,2105
party,2098
dari,2096
favorite,2094
egg,2089
cream,2083
mess,2080
week,2076
ama,2071
finish,2055
somebody,2041
l,2037
b,2036
dirty,2034
kitchen,2026
light,2015
Caroline,2013
shop,2010
mind,2000
black,1999
guess,1996
sun,1990
teeth,1988
ye,1985
wet,1985
yep,1972
wear,1972
baba,1969
chocolate,1962
jump,1957
toe,1954
lots,1943
write,1939
leuk,1936
small,1934
Christmas,1926
bird,1925
nothing,1924
idea,1914
comment,1898
ice,1893
bon,1891
dar,1888
doll,1887
taking,1886
stick,1877
brush,1875
front,1871
already,1867
upstairs,1866
seven,1866
took,1863
rein,1861
told,1854
nach,1853
puzzle,1848
pot,1848
Carl,1845
yummy,1839
set,1832
ever,1829
zoo,1828
part,1819
phone,1811
sort,1802
boat,1801
needs,1799
claro,1792
run,1787
rabbit,1777
both,1763
until,1758
dolly,1753
pu,1749
sometimes,1748
crying,1747
war,1744
quick,1739
roll,1738
farm,1735
yan,1730
catch,1728
comer,1720
taro,1715
banana,1708
beautiful,1708
colors,1708
kayak,1707
either,1706
shake,1704
Ana,1701
poi,1696
lion,1688
bet,1679
encore,1675
matte,1672
bottom,1671
v,1670
hole,1666
agora,1654
ring,1647
sleeping,1646
hit,1646
soon,1645
whoa,1637
blow,1636
few,1635
shoe,1628
song,1623
feed,1621
warm,1620
finger,1617
tomorrow,1616
sound,1615
game,1614
coffee,1605
och,1604
bought,1599
Sarah,1596
park,1588
bridge,1586
qua,1586
gave,1576
tummy,1575
friend,1573
nine,1570
lost,1569
ova,1564
wonder,1562
dress,1560
mang,1555
engine,1551
pane,1550
drive,1549
ow,1548
hug,1548
almost,1547
own,1546
toast,1544
count,1544
brown,1542
Anne,1539
purple,1537
lag,1534
anda,1527
Max,1526
cook,1514
tiger,1513
net,1509
ate,1509
til,1506
molt,1506
tickle,1505
excuse,1504
snake,1504
boom,1503
letter,1499
change,1496
shopping,1495
bowl,1495
hen,1494
Becky,1494
somewhere,1490
eight,1486
saya,1480
tam,1480
ago,1478
whose,1474
twee,1474
downstairs,1466
Anna,1464
tule,1462
bach,1454
happening,1452
quack,1450
mono,1446
pen,1445
wipe,1440
sweetheart,1439
fast,1431
live,1430
sandwich,1425
pants,1423
best,1422
garden,1419
tail,1417
whole,1416
usually,1410
spaghetti,1409
mouse,1407
rest,1405
slide,1405
dove,1404
shut,1403
gam,1402
yah,1397
clock,1394
bee,1389
hasta,1383
air,1379
frog,1376
oes,1362
basket,1361
button,1359
