word,count
Peter,183
sweet,182
carrot,182
quite,181
might,181
heel,181
dancing,181
drive,179
may,179
running,178
wir,178
fun,177
magic,176
sheep,176
tissue,176
pan,175
tired,174
ser,174
build,174
dead,174
brother,174
petite,173
fine,173
solo,172
sabe,172
change,172
mirror,171
circle,171
tape,171
hah,170
wet,169
tail,169
fare,168
clothes,167
mon,167
fan,167
princess,167
fix,166
kitchen,166
sa,166
dance,166
kiss,166
Percy,166
its,165
fast,165
favor,165
stuck,165
Ernie,164
queen,163
mamma,163
ate,163
conte,163
finger,162
heavy,162
vis,162
den,162
sky,161
pato,161
window,161
sword,161
cause,160
falling,160
ice,159
giraffe,159
sou,159
move,158
ey,158
sir,158
video,158
ring,157
clock,157
colour,157
music,157
bottle,156
Todd,156
eight,155
castle,155
wearing,152
favorite,152
dar,151
hum,151
Christmas,151
seen,150
teacher,150
everything,150
someone,150
balloon,149
ambulance,149
high,149
being,148
full,148
candy,148
vol,147
pipi,147
reading,147
Chinese,147
pon,147
angry,147
tut,147
pap,147
dark,147
never,147
word,146
snake,146
fit,146
piano,146
hoy,145
leg,145
great,144
taking,144
idea,143
medicine,143
bravo,143
sticker,143
minute,142
pupa,141
cook,141
poor,141
blanket,141
knife,141
hora,141
quack,141
flying,140
lax,140
nine,138
actually,138
malo,137
driver,137
afraid,137
singing,137
manger,137
soup,137
told,136
telephone,136
both,134
piggy,134
helicopter,134
bath,134
James,133
Tigger,133
once,133
X,133
happen,132
save,132
real,132
breakfast,131
bread,131
hospital,131
fight,131
walk,131
bought,130
sometimes,130
tummy,130
mike,130
g,130
sale,129
wake,129
wipe,129
button,129
drinking,129
grass,129
pear,129
uncle,129
bicycle,128
quiet,128
shirt,127
butterfly,127
plate,127
lost,127
job,127
cover,126
pencil,126
Mister,126
dire,126
primer,125
broke,125
volt,125
fork,125
best,124
mess,124
missing,124
umbrella,124
naughty,123
sofa,123
dragon,122
air,122
ken,122
turtle,122
feel,122
though,122
mo,122
mala,121
ear,121
strawberry,121
triangle,121
rest,121
cool,121
kor,121
od,120
twee,120
twenty,120
pone,118
working,118
point,118
blow,118
tractor,118
glasses,118
gos,117
king,117
fruit,117
prince,117
climb,117
bent,117
sister,117
p,117
ever,116
tutti,115
hole,115
col,114
r,114
whole,113
colors,113
person,113
owl,113
shoot,113
stuff,113
whoa,112
Kitty,112
line,112
mesa,111
ens,111
soy,110
clever,110
garden,110
standing,110
shopping,110
tie,109
soon,108
lady,108
moment,108
bo,108
ancora,108
f,108
granny,107
bee,107
leaves,107
spider,107
rain,106
gam,105
yesterday,105
exactly,105
fairy,105
koko,105
fuerte,104
letter,104
fat,104
dodo,104
gros,104
cos,104
swim,104
kill,104
ballet,104
woof,104
Alice,103
ground,103
doll,103
woo,103
boom,103
aller,103
Leila,102
space,102
shark,102
ow,102
wah,102
happening,101
driving,101
mother,101
sok,101
almost,101
fighting,101
dry,101
ant,101
ye,101
Gene,101
pa,100
set,100
course,100
fireman,100
turning,100
om,100
feed,99
sad,99
pure,99
tomato,99
brown,99
tania,98
wo,98
answer,97
Phyllis,97
used,97
somebody,97
lie,97
each,96
scary,96
heart,95
mono,95
pen,95
fox,95
antes,94
card,94
understand,94
kick,94
send,94
rana,94
boo,94
somewhere,93
needs,93
care,93
glass,93
stickers,93
pizza,93
body,92
block,92
onto,92
sick,92
machine,92
Cinderella,92
share,92
Minnie,92
coffee,91
riding,91
Barney,91
amarillo,91
smell,91
pretend,91
kon,91
taxi,91
dado,90
grand,90
tickle,90
aeroplane,90
ouch,90
bottom,89
grandma,89
corner,89
nursery,89
dangerous,89
present,89
terrible,89
pinta,88
rum,88
bedroom,88
fent,88
mange,88
throwing,87
washing,87
until,87
quick,87
fort,87
font,87
upstairs,86
probably,86
tower,86
Sofia,86
smaller,86
penguin,85
ba,85
key,85
short,85
delicious,85
mou,85
week,85
Bert,85
own,84
Anna,84
hug,84
closed,84
forgot,83
mint,83
bang,83
seat,83
crown,83
carry,82
shut,82
middle,82
prima,82
bene,82
eaten,82
bees,82
site,82
hop,82
follow,81
every,81
hasta,81
dude,81
faster,81
cute,81
comb,81
dalt,80
sin,80
downstairs,80
strong,80
nam,80
such,80
lots,80
z,80
sense,80
cola,79
tomorrow,79
shape,79
tele,79
par,79
dime,79
busy,79
supposed,79
recording,79
chat,79
duckie,79
piscina,78
roger,78
wheel,78
threw,78
pi,78
otherwise,77
waiting,77
sombrero,77
noisy,77
crayon,77
either,77
pool,77
wind,77
giving,76
nap,76
without,76
drop,76
paint,76
farm,76
Richard,76
bell,76
true,76
ran,76
Kate,76
half,75
special,75
nobody,75
bucket,75
dolphin,75
tongue,75
violin,75
excuse,75
moo,75
Pan,75
Jessie,75
sugar,75
due,75
everybody,75
cooking,74
engine,74
front,74
arm,74
lemon,74
teach,74
doggy,74
gat,74
alone,74
tall,74
grow,74
livre,74
smiling,73
slide,73
thanks,73
problem,73
za,73
sand,73
dogs,73
brush,73
question,72
goodness,72
taken,72
zebra,72
taste,72
garbage,72
sang,72
maria,72
ala,71
dedo,71
pants,71
garage,71
ding,71
ad,71
caught,71
chose,71
few,71
shop,71
necklace,71
potato,71
dad,70
baba,70
computer,70
neck,70
warm,70
smile,70
plant,70
coco,70
aga,70
earth,69
wall,69
toe,69
zoo,69
building,69
benne,69
B,69
soap,69
crazy,69
caracol,68
instead,68
goat,68
donkey,68
sock,68
potty,68
sai,68
T,68
corn,68
beach,67
oka,66
O,66
ugly,66
usually,66
forget,66
quatre,66
bin,66
pea,66
kasa,66
mosquito,65
trousers,65
farmer,65
step,65
John,65
second,65
prendre,65
safe,65
til,65
rice,64
sleepy,64
kef,64
station,64
brought,64
mind,64
accord,64
Sam,64
kangaroo,63
square,63
sap,63
biscuit,63
tin,63
late,63
pain,63
sola,63
dale,63
manzana,63
fair,63
microphone,62
board,62
crash,62
scissors,62
sitio,62
lift,62
kitty,62
welcome,62
belly,62
papilla,62
froggy,62
ale,61
telling,61
snow,61
moving,61
along,61
watching,61
bah,61
upon,61
choose,61
pillow,61
rubbish,61
taula,60
loud,60
boots,60
beau,60
painting,60
pineapple,60
worm,60
upside,60
anyway,60
clip,60
pro,60
myself,59
sweetheart,59
dank,59
battery,59
mug,59
photo,59
rainbow,59
wonder,59
mall,59
attention,59
sauce,59
cantar,58
bowl,58
market,58
sh,58
walking,58
bean,58
shoulder,58
ego,58
mains,58
dare,58
knock,58
tal,58
hie,58
amor,58
tula,58
cross,57
basket,57
numero,57
year,57
ship,57
cane,57
thirsty,57
eleven,57
nit,57
roll,57
whoo,57
sticky,57
chips,57
family,56
bobo,56
leer,56
Santa,56
mover,56
whether,56
bathroom,56
C,56
able,56
accident,56
bouche,56
Edward,56
blanca,56
toast,55
parking,55
kite,55
aval,55
mum,55
helmet,55
empty,55
difficile,55
laughing,55
hamster,55
beside,55
attend,55
kiwi,55
plat,55
airport,55
sort,55
yah,55
towel,55
cockroach,55
yep,55
maco,54
calor,54
works,54
pocket,54
eats,54
Lisa,54
main,54
tete,54
ar,54
Wat,54
Wolf,54
apa,54
dump,54
Maria,54
vive,53
excited,53
swallow,53
living,53
gosh,53
sulla,53
Ah,53
closer,53
till,53
lit,53
sticks,53
Tim,53
rolling,53
thinking,52
Gogo,52
bridge,52
himself,52
nicely,52
blanco,52
clap,52
Clara,52
King,52
jelly,52
playa,52
dag,52
nearly,52
meet,51
check,51
cart,51
office,51
television,51
learn,51
groot,51
bel,51
pilot,51
goose,51
puppy,51
road,51
bas,51
sind,51
carrying,50
Saturday,50
tied,50
Spanish,50
shadow,50
god,50
cushion,50
Mr,50
roof,50
wine,50
sharp,50
chase,50
lipstick,50
tunnel,50
tortilla,50
puja,49
interesting,49
shower,49
ribbon,49
coat,49
Ben,49
luna,49
salta,49
Alan,49
regarder,49
twelve,49
alto,49
Ana,49
reach,49
shake,49
injection,49
super,49
mister,49
ich,49
rescue,49
add,48
forest,48
bubble,48
nous,48
whoops,48
soft,48
fishing,48
football,48
verd,48
miss,48
arms,48
thin,48
worry,48
land,48
baa,48
sat,48
bet,48
Astrid,48
saa,48
asleep,47
chico,47
tri,47
everyone,47
Emily,47
clown,47
scare,47
bow,47
hele,47
straight,47
aa,47
pare,46
autobus,46
leaf,46
diaper,46
rope,46
biting,46
yucky,46
river,46
tai,46
class,46
cutting,46
pont,46
bain,46
Jan,46
helping,46
sera,45
quickly,45
candle,45
dolly,45
toilet,45
tua,45
men,45
William,45
everywhere,45
sticking,45
ell,45
magazine,45
squirrel,45
woke,45
splash,45
dentist,45
Wendy,45
turned,44
continue,44
matter,44
switch,44
bounce,44
blinking,44
blowing,44
painful,44
bright,44
mu,44
oven,44
Manuel,44
giant,43
No,43
grandpa,43
slow,43
maze,43
ose,43
reina,43
young,43
longer,43
mango,43
supermarket,43
dig,43
casco,43
Spencer,43
track,43
auto,43
skal,43
ugh,43
hammer,43
iba,42
tapa,42
calling,42
fen,42
skirt,42
Ally,42
times,42
California,42
sent,42
lose,42
squeeze,42
bank,42
crab,42
caterpillar,42
plastic,42
couch,42
pair,42
bone,42
snoopy,42
beginning,42
mor,42
drew,42
chien,42
fence,42
opening,42
Tommy,42
cleaning,41
deer,41
ham,41
nurse,41
hurry,41
watermelon,41
ponga,41
golly,41
chimney,41
straw,41
twinkle,41
band,41
yoghurt,41
trumpet,41
spaghetti,41
neet,41
cuerda,40
near,40
Mina,40
power,40
oe,40
writing,40
pass,40
final,40
pam,40
lying,40
knee,40
rouge,40
Clare,40
belt,40
bat,40
gate,40
nail,40
camp,40
radio,40
whom,40
father,40
mice,40
holiday,40
loup,40
pet,40
glue,40
reis,40
pile,40
seed,40
pointing,39
properly,39
believe,39
bandage,39
Sunday,39
romper,39
largo,39
Cleopatra,39
climbing,39
pu,39
racing,39
become,39
bout,39
wood,39
soldier,39
cage,39
muffin,39
matin,39
listening,39
butter,39
Carl,39
perfecto,38
world,38
camel,38
snack,38
days,38
apron,38
tried,38
cheval,38
ban,38
figure,38
lamp,38
snail,38
buttons,38
cha,38
whenever,38
anyone,38
Monday,38
hill,38
quo,38
bib,38
easy,38
rose,38
jet,38
whale,38
shiny,37
ago,37
player,37
feeding,37
tap,37
mel,37
touching,37
comfortable,37
privet,37
pee,37
child,37
tien,37
ahead,37
handbag,37
quell,37
row,37
camion,37
golden,37
parle,37
patient,37
cough,37
bum,37
rub,36
pushing,36
octopus,36
leaving,36
ami,36
focus,36
Hungarian,36
meter,36
coloring,36
pump,36
recorder,36
morgen,36
gust,36
Mimi,36
fifteen,36
bug,36
sausage,36
pep,36
wish,36
pond,36
Pat,36
third,36
beer,36
dinar,35
shot,35
apart,35
since,35
strange,35
cock,35
quilt,35
Julie,35
Rebecca,35
brave,35
case,35
string,35
chapeau,35
dal,35
win,35
pastel,35
spell,35
slape,35
sandwich,35
Robin,35
film,35
sig,35
Red,35
yaya,35
guardo,34
dressed,34
tasty,34
nieve,34
speaking,34
couple,34
mela,34
post,34
kou,34
fe,34
Teddy,34
burn,34
pirate,34
pay,34
chaise,34
mare,34
mary,34
bal,34
French,34
Mary,34
loose,34
surprise,34
fixed,34
David,34
lid,34
God,34
carte,34
ogre,34
E,34
wave,34
wild,34
peanut,34
counting,34
tiny,34
pica,33
difficult,33
id,33
voice,33
canard,33
steal,33
swing,33
ea,33
The,33
miro,33
eagle,33
collar,33
tooth,33
gall,33
pose,33
town,33
crawling,33
mad,33
ill,33
Dora,33
cabbage,33
chanson,33
Jeremy,32
butt,32
lama,32
Miguel,32
re,32
shell,32
washed,32
Devon,32
ringing,32
fog,32
fill,32
disgusting,32
curtain,32
pop,32
Marathi,32
agora,32
lamb,32
record,32
afternoon,32
