"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
29,"hest","word","animals",0.19,0.3,0.43,0.55,0.64,0.69,0.79,0.85,0.88,0.89,0.92,0.93,0.95,0.95,0.97,0.97,0.98,0.98,0.98,0.99,0.97
30,"høne","word","animals",0.01,0.06,0.08,0.2,0.27,0.28,0.41,0.47,0.55,0.63,0.69,0.71,0.76,0.73,0.82,0.85,0.88,0.87,0.89,0.93,0.89
31,"hund","word","animals",0.19,0.3,0.33,0.4,0.55,0.59,0.67,0.73,0.77,0.81,0.86,0.89,0.9,0.9,0.94,0.94,0.96,0.94,0.98,0.99,0.96
32,"kanin","word","animals",0.03,0.12,0.16,0.28,0.39,0.43,0.52,0.6,0.68,0.72,0.77,0.81,0.86,0.84,0.88,0.92,0.93,0.92,0.94,0.95,0.93
33,"katt","word","animals",0.21,0.39,0.41,0.52,0.62,0.68,0.73,0.8,0.85,0.88,0.9,0.92,0.91,0.93,0.95,0.96,0.97,0.97,0.99,0.98,0.96
34,"kattunge","word","animals",0.01,0.01,0.03,0.05,0.07,0.06,0.11,0.15,0.18,0.27,0.33,0.38,0.42,0.42,0.49,0.55,0.56,0.58,0.67,0.67,0.73
35,"krokodille","word","animals",0.02,0.04,0.06,0.15,0.2,0.26,0.4,0.45,0.54,0.63,0.7,0.74,0.79,0.81,0.86,0.86,0.91,0.92,0.92,0.94,0.91
36,"ku","word","animals",0.16,0.28,0.31,0.36,0.53,0.59,0.69,0.72,0.79,0.83,0.86,0.88,0.91,0.93,0.94,0.95,0.97,0.97,0.98,0.97,0.96
37,"kylling (animal)","word","animals",0.01,0.02,0.05,0.12,0.14,0.19,0.27,0.32,0.4,0.49,0.58,0.61,0.68,0.68,0.74,0.77,0.81,0.82,0.86,0.87,0.86
38,"lam","word","animals",0.04,0.05,0.1,0.19,0.24,0.23,0.34,0.4,0.43,0.5,0.61,0.6,0.62,0.68,0.73,0.72,0.77,0.75,0.8,0.83,0.79
39,"(leke)bamse","word","animals",0.16,0.25,0.33,0.46,0.57,0.57,0.66,0.73,0.74,0.83,0.86,0.88,0.9,0.91,0.92,0.93,0.94,0.96,0.94,0.97,0.94
40,"løve","word","animals",0.03,0.09,0.13,0.22,0.34,0.37,0.48,0.58,0.62,0.7,0.78,0.81,0.85,0.85,0.89,0.91,0.94,0.94,0.96,0.97,0.92
41,"maur","word","animals",0.01,0.02,0.02,0.07,0.06,0.1,0.16,0.22,0.32,0.41,0.48,0.55,0.57,0.58,0.67,0.69,0.75,0.73,0.81,0.82,0.79
42,"mus","word","animals",0.1,0.17,0.26,0.31,0.45,0.52,0.6,0.65,0.7,0.77,0.83,0.84,0.87,0.9,0.91,0.93,0.95,0.95,0.96,0.96,0.93
43,"mygg","word","animals",0,0.01,0.01,0.02,0.04,0.05,0.08,0.1,0.15,0.22,0.28,0.29,0.35,0.36,0.44,0.49,0.55,0.51,0.58,0.6,0.63
44,"pingvin","word","animals",0.01,0.03,0.03,0.09,0.12,0.17,0.24,0.29,0.32,0.39,0.47,0.53,0.54,0.59,0.59,0.64,0.69,0.65,0.71,0.78,0.75
45,"ponni","word","animals",0.01,0,0.02,0.03,0.05,0.04,0.09,0.09,0.14,0.17,0.21,0.22,0.26,0.27,0.33,0.34,0.39,0.4,0.4,0.5,0.51
46,"reinsdyr","word","animals",0,0,0.01,0.02,0.02,0.06,0.08,0.08,0.12,0.18,0.22,0.24,0.28,0.29,0.35,0.37,0.44,0.44,0.48,0.49,0.55
47,"sau","word","animals",0.1,0.2,0.23,0.29,0.41,0.46,0.58,0.65,0.7,0.76,0.8,0.84,0.87,0.9,0.92,0.91,0.94,0.93,0.95,0.96,0.93
48,"sebra","word","animals",0,0.01,0.03,0.09,0.12,0.15,0.25,0.26,0.35,0.42,0.51,0.51,0.6,0.63,0.64,0.69,0.76,0.73,0.76,0.79,0.78
49,"sjiraff","word","animals",0.03,0.04,0.09,0.18,0.21,0.28,0.4,0.48,0.54,0.63,0.69,0.74,0.78,0.78,0.82,0.85,0.88,0.89,0.9,0.92,0.85
50,"skilpadde","word","animals",0,0.02,0.03,0.08,0.11,0.15,0.23,0.25,0.34,0.42,0.48,0.56,0.61,0.64,0.68,0.74,0.77,0.75,0.81,0.85,0.81
51,"sommerfugl","word","animals",0,0.02,0.04,0.11,0.17,0.17,0.3,0.38,0.44,0.56,0.64,0.7,0.77,0.76,0.8,0.82,0.88,0.87,0.89,0.92,0.91
52,"tiger","word","animals",0.03,0.1,0.09,0.21,0.26,0.33,0.44,0.5,0.56,0.64,0.74,0.77,0.81,0.84,0.84,0.88,0.92,0.9,0.93,0.95,0.91
53,"ugle","word","animals",0.02,0.06,0.07,0.13,0.15,0.21,0.29,0.35,0.4,0.48,0.52,0.58,0.59,0.63,0.68,0.73,0.79,0.74,0.79,0.82,0.8
54,"ulv","word","animals",0,0.03,0.03,0.07,0.09,0.11,0.17,0.22,0.25,0.34,0.42,0.46,0.52,0.51,0.59,0.66,0.69,0.68,0.73,0.79,0.79
55,"valp","word","animals",0.02,0.02,0.03,0.04,0.04,0.06,0.09,0.1,0.13,0.2,0.25,0.26,0.31,0.34,0.36,0.38,0.45,0.44,0.48,0.53,0.55
56,"veps","word","animals",0.02,0.05,0.04,0.1,0.12,0.16,0.21,0.25,0.28,0.4,0.44,0.5,0.55,0.57,0.61,0.68,0.74,0.75,0.78,0.78,0.79
57,"akebrett","word","vehicles",0.01,0.02,0.04,0.08,0.09,0.19,0.24,0.39,0.41,0.53,0.54,0.65,0.64,0.68,0.76,0.77,0.83,0.88,0.89,0.91,0.9
58,"barnevogn","word","vehicles",0.03,0.09,0.14,0.26,0.33,0.37,0.47,0.58,0.64,0.7,0.72,0.78,0.77,0.78,0.82,0.85,0.86,0.83,0.87,0.88,0.89
59,"bil","word","vehicles",0.4,0.5,0.63,0.72,0.82,0.87,0.9,0.91,0.93,0.95,0.96,0.97,0.98,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.96
60,"brannbil","word","vehicles",0.02,0.04,0.06,0.14,0.16,0.23,0.32,0.41,0.49,0.6,0.67,0.73,0.77,0.78,0.86,0.88,0.87,0.91,0.92,0.93,0.93
61,"båt","word","vehicles",0.21,0.28,0.32,0.49,0.62,0.66,0.75,0.82,0.83,0.9,0.92,0.93,0.95,0.96,0.97,0.96,0.97,0.97,0.98,0.98,0.97
